order_id,heure,type,prix_demande,prix_execute,slippage_pts,slippage_usd,latence_ms,qualite,condition,requote,partiel,lots,spread_pts
976a3637,2026-06-09T10:44:06,BUY,2000.0,2000.02,2.1,0.02,161,MOYEN,NORMAL,False,False,0.01,9.0
683dceca,2026-06-09T10:44:06,BUY,2000.0,2000.01,1.4,0.01,84,BON,NORMAL,False,False,0.01,8.3
0dfc0225,2026-06-09T10:44:06,BUY,2000.0,2000.01,1.2,0.01,155,BON,NORMAL,False,False,0.01,8.1
1822281a,2026-06-09T10:44:06,BUY,2000.0,2000.01,1.4,0.01,117,BON,NORMAL,False,False,0.01,8.3
1201c42b,2026-06-09T10:44:06,BUY,2000.0,2000.02,2.1,0.02,92,MOYEN,NORMAL,False,False,0.01,9.2
737fe5d4,2026-06-09T10:44:06,BUY,2000.0,2000.02,1.7,0.02,134,BON,NORMAL,False,False,0.01,9.3
96ddeb2e,2026-06-09T10:44:06,BUY,2000.0,2000.01,1.1,0.01,134,BON,NORMAL,False,False,0.01,9.3
1a964134,2026-06-09T10:44:06,BUY,2000.0,2000.03,3.2,0.03,144,MOYEN,NORMAL,False,False,0.01,9.6
8c4e13ae,2026-06-09T10:44:06,BUY,2000.0,2000.02,1.9,0.02,119,BON,NORMAL,False,False,0.01,7.9
35b19eb6,2026-06-09T10:44:06,BUY,2000.0,2000.02,2.4,0.02,170,MOYEN,NORMAL,False,False,0.01,8.8
294271fb,2026-06-09T10:44:06,BUY,2000.0,2000.02,1.8,0.02,180,BON,NORMAL,False,False,0.01,8.2
e638a979,2026-06-09T10:44:06,BUY,2000.0,2000.02,1.7,0.02,139,BON,NORMAL,False,False,0.01,9.3
128335fe,2026-06-09T10:44:06,BUY,2000.0,2000.02,2.4,0.02,138,MOYEN,NORMAL,False,False,0.01,8.5
bc33376e,2026-06-09T10:44:06,BUY,2000.0,2000.02,1.7,0.02,86,BON,NORMAL,False,False,0.01,8.3
e7bf09e5,2026-06-09T10:44:06,BUY,2000.0,2000.02,1.6,0.02,95,BON,NORMAL,False,False,0.01,8.5
41a4d412,2026-06-09T10:44:06,BUY,2000.0,2000.01,1.1,0.01,113,BON,NORMAL,False,False,0.01,9.6
42d4b19e,2026-06-09T10:44:06,BUY,2000.0,2000.01,1.3,0.01,97,BON,NORMAL,False,False,0.01,8.2
a4fdf027,2026-06-09T10:44:06,BUY,2000.0,2000.07,2.5,0.0,136,REQUOTÉ,NORMAL,True,False,0.0,9.5
a130a4df,2026-06-09T10:44:06,BUY,2000.0,2000.02,1.8,0.02,99,BON,NORMAL,False,False,0.01,9.3
